temperature,humidity,precipitation,pressure
18.0,96,0.0,906.6
18.2,95,0.1,907.4
18.0,96,0.1,907.2
17.9,97,0.3,906.5
17.8,98,1.0,905.9
17.8,98,0.9,905.7
17.3,98,1.4,905.6
17.2,98,2.1,905.7
17.2,99,10.9,906.0
17.4,97,3.8,907.3
17.6,97,0.5,907.7
17.6,97,1.2,907.9
17.7,97,1.0,908.1
18.3,96,0.5,908.2
18.6,96,0.4,908.0
19.1,96,0.4,907.5
20.0,92,0.5,907.1
20.8,90,0.9,907.0
20.5,90,0.7,906.3
21.5,85,0.8,906.3
21.3,87,1.7,906.4
19.8,91,2.3,905.9
18.4,95,2.6,906.3
18.2,97,3.1,907.3
18.1,98,2.4,908.1
18.1,97,1.2,908.8
18.0,97,0.3,908.8
17.8,98,0.1,908.1
17.6,98,0.5,907.7
17.5,98,0.0,907.5
17.4,98,0.0,907.5
17.4,98,0.0,907.7
17.2,98,0.0,908.4
17.5,97,0.0,909.5
17.9,97,0.1,910.0
18.0,96,0.4,910.4
18.3,96,0.5,910.4
18.3,96,0.2,910.4
18.6,92,0.0,910.0
18.7,92,0.1,909.4
18.6,93,0.1,908.8
18.3,95,0.1,908.0
19.1,94,0.0,907.1
21.0,85,0.0,906.9
21.7,84,0.1,906.9
21.3,89,0.0,907.0
19.4,93,0.0,907.4
18.7,94,0.0,907.8
18.3,95,0.0,908.3
17.9,95,0.0,908.7
17.7,95,0.0,908.5
17.5,96,0.0,908.0
17.3,96,0.0,907.6
17.1,97,0.5,907.3
17.2,97,1.1,907.5
17.1,97,1.0,907.8
17.8,97,0.0,908.6
18.1,97,0.0,909.4
18.6,97,0.6,909.9
19.4,95,0.1,910.2
20.2,92,0.3,910.0
20.8,90,0.3,909.7
20.9,90,0.3,908.8
22.0,89,1.0,908.3
21.5,89,0.9,907.3
21.9,87,0.7,906.8
21.7,87,0.1,905.9
21.7,86,0.0,905.4
22.0,85,0.0,905.6
21.6,89,0.0,905.7
19.4,95,0.0,905.8
18.7,96,0.4,906.1
18.4,95,0.0,906.8
18.3,95,0.0,907.4
18.0,95,0.0,907.3
17.8,96,0.0,906.9
17.6,97,0.0,906.0
17.3,97,0.0,905.6
17.9,96,0.1,905.7
17.9,97,0.1,905.7
18.0,97,0.4,906.2
18.3,97,0.1,907.0
18.7,96,0.1,907.4
19.0,96,0.6,907.6
19.0,97,0.7,907.6
19.1,97,0.7,907.7
19.5,95,0.2,907.5
21.9,86,0.4,907.7
19.9,92,0.1,906.6
19.2,95,0.3,905.6
19.7,94,0.0,905.0
21.9,88,0.6,905.3
20.8,92,0.8,905.0
19.9,94,1.5,905.0
19.4,95,1.2,905.4
18.7,97,1.5,905.7
18.8,97,0.8,906.2
19.1,96,0.1,906.8
19.1,96,0.1,906.8
18.8,96,0.7,906.0
18.6,97,1.5,905.3
18.6,97,1.6,905.1
18.8,97,1.5,904.5
18.7,98,3.1,904.7
18.8,97,0.7,905.2
